type,center,touches,first_date,last_date,score,score_final,distance_pct
support,6381.86,1,2018-09-25,2018-09-25,10,13,91.05176630210043
resistance,6675.06,1,2018-10-08,2018-10-08,10,13,90.64066011672122
resistance,34802.74,1,2021-01-25,2021-01-25,10,13,51.20183600905737
support,33520.74,1,2021-05-30,2021-05-30,10,13,52.99937396832116
resistance,39478.95,1,2021-06-03,2021-06-03,10,13,44.6451550570379
resistance,41295.27,1,2021-06-15,2021-06-15,10,13,42.09842795394116
resistance,35487.25,1,2021-06-25,2021-06-25,10,13,50.24206010539459
support,30184.5,1,2021-06-26,2021-06-26,10,13,57.67723515491573
resistance,36542.11,1,2021-06-29,2021-06-29,10,13,48.76300324758726
support,32770.68,1,2021-07-02,2021-07-02,10,13,54.0510598667029
support,32133.18,1,2021-07-08,2021-07-08,10,13,54.94492137140702
resistance,34592.16,1,2021-07-12,2021-07-12,10,13,51.49709774342691
support,37458.0,1,2021-08-05,2021-08-05,10,13,47.47880118712695
support,33184.06,1,2022-01-24,2022-01-24,10,13,53.47144501366042
resistance,38825.41,1,2022-01-26,2022-01-26,10,13,45.5615068182682
support,36375.54,1,2022-02-03,2022-02-03,10,13,48.99655699007912
support,37260.2,1,2022-03-07,2022-03-07,10,13,47.75614362733162
support,37680.73,1,2022-03-14,2022-03-14,10,13,47.1665035040795
support,39373.06,1,2022-04-11,2022-04-11,10,13,44.79362720563887
support,37884.98,1,2022-04-26,2022-04-26,10,13,46.880117288650766
support,28261.91,1,2022-05-26,2022-05-26,10,13,60.372967218177024
resistance,32249.86,1,2022-05-31,2022-05-31,10,13,54.78132017867152
support,17708.62,1,2022-06-18,2022-06-18,10,13,75.17011181265364
resistance,21620.63,1,2022-06-21,2022-06-21,10,13,69.68494295772419
resistance,22314.94,1,2022-07-08,2022-07-08,10,13,68.71142612426362
support,18999.95,1,2022-07-13,2022-07-13,10,13,73.35949192736805
resistance,24572.58,1,2022-07-30,2022-07-30,10,13,65.54590849684372
support,22485.7,1,2022-08-04,2022-08-04,10,13,68.47199743321535
resistance,20542.64,1,2022-08-30,2022-08-30,10,13,71.19643121412574
resistance,22673.82,1,2022-09-13,2022-09-13,10,13,68.20822766652525
support,18553.3,1,2022-09-28,2022-09-28,10,13,73.98575583493839
resistance,19666.99,1,2022-10-18,2022-10-18,10,13,72.42421133427341
resistance,20988.39,1,2022-10-29,2022-10-29,10,13,70.57142922867968
support,20086.24,1,2022-11-03,2022-11-03,10,13,71.83636594470919
resistance,21446.89,1,2022-11-05,2022-11-05,10,13,69.92855001313954
support,15682.69,1,2022-11-09,2022-11-09,10,13,78.01074057849708
support,15872.94,1,2022-11-14,2022-11-14,10,13,77.7439842627795
support,15599.05,1,2022-11-21,2022-11-21,10,13,78.12801520791426
resistance,16771.47,1,2022-11-24,2022-11-24,10,13,76.48412327796102
support,16054.53,1,2022-11-28,2022-11-28,10,13,77.48937044216898
resistance,17378.15,1,2022-12-05,2022-12-05,10,13,75.63347559533531
support,16750.56,1,2022-12-07,2022-12-07,10,13,76.51344193531531
support,16899.39,1,2022-12-12,2022-12-12,10,13,76.30476208002887
support,20541.54,1,2023-01-18,2023-01-18,10,13,71.19797356338876
resistance,23282.35,1,2023-01-21,2023-01-21,10,13,67.35498603286628
resistance,23722.1,1,2023-01-25,2023-01-25,10,13,66.73839686158215
support,21460.09,1,2023-02-13,2023-02-13,10,13,69.91004182198333
support,26760.0,1,2023-03-22,2023-03-22,10,13,62.47884883783216
resistance,29159.9,1,2023-03-30,2023-03-30,10,13,59.11386338663311
resistance,31005.61,1,2023-04-14,2023-04-14,10,13,56.525927515499895
support,27070.85,1,2023-04-24,2023-04-24,10,13,62.042994957459975
support,27680.79,1,2023-05-01,2023-05-01,10,13,61.187776312472955
resistance,29820.13,1,2023-05-06,2023-05-06,10,13,58.18813133761225
resistance,27646.35,1,2023-05-15,2023-05-15,10,13,61.23606586576238
support,24797.17,1,2023-06-15,2023-06-15,10,13,65.23100284140608
support,29777.29,1,2023-07-07,2023-07-07,10,13,58.24819883072837
resistance,30330.64,1,2023-07-23,2023-07-23,10,13,57.47232704464521
resistance,30176.8,1,2023-08-08,2023-08-08,10,13,57.68803159975686
resistance,29660.25,1,2023-08-14,2023-08-14,10,13,58.412304792313584
resistance,26786.9,1,2023-08-23,2023-08-23,10,13,62.441131387672876
